trial_id,word,article,correct_type,obj_image,sub_image,phrase,trial_type,thisN,thisTrialN,thisRepN,key_resp.keys,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,thisRow.t,notes,instruction.started,Welcome.started,start_key.started,mouse_2.started,instruction.stopped,start_key.keys,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,trial.started,sentence.started,image_left.started,image_right.started,key_resp.started,mouse.started,trial.stopped,trials_loop.key_resp.keys,response,rt,response_method,correct_response,accuracy,trials_loop.mouse.x,trials_loop.mouse.y,trials_loop.mouse.leftButton,trials_loop.mouse.midButton,trials_loop.mouse.rightButton,trials_loop.mouse.time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.026605249848216772,0.03485916694626212,0.03485916694626212,0.026623875135555863,2.403289249865338,None,[0.06833333333333333],[-0.10666666666666667],[1],[0],[0],[2.3765487079508603],,,,,,,,,,,,,,,,,,,,022947,001,2026-04-25_16h09.06.613,experiment,2024.2.4,None,2026-04-25 16h09.15.199766 -0700,
94,wug,None,sub,o1.png,s10.png,look,critical,0,0,0,None,0,0,0,93,2.6592411249876022,,,,,,,,,,,,,,2.65452858293429,2.6592411249876022,2.6592411249876022,2.6592411249876022,2.6592411249876022,0.251032582949847,3.8185559997800738,None,j,0,mouse,f,0,,,,,,,022947,001,2026-04-25_16h09.06.613,experiment,2024.2.4,None,2026-04-25 16h09.15.199766 -0700,
38,boarse,a,obj,o7.png,s21.png,look,critical,1,1,0,None,0,1,1,37,4.0058940418530256,,,,,,,,,,,,,,4.0023977919481695,4.0058940418530256,4.0058940418530256,4.0058940418530256,4.0058940418530256,0.18072216701693833,4.3701577498577535,None,j,0,mouse,j,1,[0.4033333333333333],[0.028333333333333332],[1],[0],[0],[1.1638647499494255],022947,001,2026-04-25_16h09.06.613,experiment,2024.2.4,None,2026-04-25 16h09.15.199766 -0700,
43,poy,a,obj,o3.png,s21.png,look,critical,2,2,0,None,0,2,2,42,4.537074166815728,,,,,,,,,,,,,,4.533596874913201,4.537074166815728,4.537074166815728,4.537074166815728,4.537074166815728,0.16293970914557576,4.795899749966338,None,j,0,mouse,j,1,[0.4033333333333333],[0.028333333333333332],[1],[0],[0],[0.3676450001075864],022947,001,2026-04-25_16h09.06.613,experiment,2024.2.4,None,2026-04-25 16h09.15.199766 -0700,
99,ses,None,sub,o4.png,s3.png,look,critical,3,3,0,None,0,3,3,98,4.969093541847542,,,,,,,,,,,,,,4.9654718327801675,4.969093541847542,4.969093541847542,4.969093541847542,4.969093541847542,0.16912437486462295,5.201092166826129,None,j,0,mouse,f,0,[0.4033333333333333],[0.028333333333333332],[1],[0],[0],[0.2621862089727074],022947,001,2026-04-25_16h09.06.613,experiment,2024.2.4,None,2026-04-25 16h09.15.199766 -0700,
49,tharge,None,sub,o20.png,s23.png,that_is,filler,4,4,0,None,0,4,4,48,5.375139041803777,,,,,,,,,,,,,,5.3714654999785125,5.375139041803777,5.375139041803777,5.375139041803777,5.375139041803777,0.16993854194879532,5.585450541926548,None,j,0,mouse,j,1,[0.4033333333333333],[0.028333333333333332],[1],[0],[0],[0.23550470802001655],022947,001,2026-04-25_16h09.06.613,experiment,2024.2.4,None,2026-04-25 16h09.15.199766 -0700,
3,wis,a,obj,o9.png,s12.png,look,critical,5,5,0,None,0,5,5,2,5.758861166890711,,,,,,,,,,,,,,5.755404207855463,5.758861166890711,5.758861166890711,5.758861166890711,5.758861166890711,0.1695133331231773,6.614062791923061,None,f,0,mouse,f,1,[0.4033333333333333],[0.028333333333333332],[1],[0],[0],[0.21387504204176366],022947,001,2026-04-25_16h09.06.613,experiment,2024.2.4,None,2026-04-25 16h09.15.199766 -0700,
80,tib,None,sub,o4.png,s19.png,look,critical,6,6,0,None,0,6,6,79,6.725410124985501,,,,,,,,,,,,,,6.722386457957327,6.725410124985501,6.725410124985501,6.725410124985501,6.725410124985501,0.1078099999576807,6.962466791970655,None,f,0,mouse,j,0,[-0.38333333333333336],[-0.013333333333333334],[1],[0],[0],[0.8585325418971479],022947,001,2026-04-25_16h09.06.613,experiment,2024.2.4,None,2026-04-25 16h09.15.199766 -0700,
18,vow,None,sub,o12.png,s10.png,there_is,filler,7,7,0,None,0,7,7,17,7.136261832900345,,,,,,,,,,,,,,7.133086541900411,7.136261832900345,7.136261832900345,7.136261832900345,7.136261832900345,0.1702169170603156,7.262772791786119,None,f,0,mouse,f,1,[-0.38333333333333336],[-0.013333333333333334],[1],[0],[0],[0.23997137509286404],022947,001,2026-04-25_16h09.06.613,experiment,2024.2.4,None,2026-04-25 16h09.15.199766 -0700,
9,crolt,None,sub,o12.png,s22.png,look,critical,8,8,0,None,0,8,8,8,7.4330934579484165,,,,,,,,,,,,,,7.427090666955337,7.4330934579484165,7.4330934579484165,7.4330934579484165,7.4330934579484165,0.1639011250808835,7.645664082840085,None,f,0,mouse,j,0,[-0.38333333333333336],[-0.013333333333333334],[1],[0],[0],[0.12956558307632804],022947,001,2026-04-25_16h09.06.613,experiment,2024.2.4,None,2026-04-25 16h09.15.199766 -0700,
66,clet,a,obj,o1.png,s9.png,look,critical,9,9,0,None,0,9,9,65,7.801361457910389,,,,,,,,,,,,,,7.797045749844983,7.801361457910389,7.801361457910389,7.801361457910389,7.801361457910389,0.15095141693018377,8.05143095785752,None,f,0,mouse,j,0,[-0.38333333333333336],[-0.013333333333333334],[1],[0],[0],[0.21846087486483157],022947,001,2026-04-25_16h09.06.613,experiment,2024.2.4,None,2026-04-25 16h09.15.199766 -0700,
53,flane,a,obj,o4.png,s23.png,that_is,filler,10,10,0,,0,10,10,52,8.223446166841313,,,,,,,,,,,,,,8.22012333292514,8.223446166841313,8.223446166841313,8.223446166841313,8.223446166841313,0.16829849989153445,,,,,,,,[-0.38333333333333336],[-0.013333333333333334],[1],[0],[0],[0.2542762921657413],,,,,,,,
