trial_id,word,article,correct_type,obj_image,sub_image,phrase,trial_type,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,thisRow.t,notes,instruction.started,Welcome.started,start_key.started,instruction.stopped,start_key.keys,start_key.rt,start_key.duration,trial.started,sentence.started,image_left.started,image_right.started,key_resp.started,mouse.started,trial.stopped,trials_loop.key_resp.keys,response,rt,response_method,correct_response,accuracy,trials_loop.mouse.x,trials_loop.mouse.y,trials_loop.mouse.leftButton,trials_loop.mouse.midButton,trials_loop.mouse.rightButton,trials_loop.mouse.time,trials_loop.key_resp.rt,trials_loop.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.02274487493559718,0.028418041998520494,0.028418041998520494,2.3650543340481818,f,2.0160395831335336,None,,,,,,,,,,,,,,,,,,,,,,066702,001,2026-04-25_15h42.00.641,experiment,2024.2.4,None,2026-04-25 15h42.12.141724 -0700,
10,tharge,a,obj,o1.png,s2.png,look,critical,0,0,0,None,,,0,0,0,9,2.910737874917686,,,,,,,,,2.7795987089630216,2.910737874917686,2.910737874917686,2.910737874917686,2.910737874917686,0.41460229083895683,2.9644982090685517,None,None,None,none,j,0,,,,,,,,,066702,001,2026-04-25_15h42.00.641,experiment,2024.2.4,None,2026-04-25 15h42.12.141724 -0700,
73,blick,a,obj,o20.png,s22.png,that_is,filler,1,1,0,None,,,0,1,1,72,3.255818875040859,,,,,,,,,3.250931292073801,3.255818875040859,3.255818875040859,3.255818875040859,3.255818875040859,0.2820138339884579,4.684816499939188,None,f,0,mouse,f,1,[0.125],[-0.2],[1],[0],[0],[0.184580999892205],,,066702,001,2026-04-25_15h42.00.641,experiment,2024.2.4,None,2026-04-25 15h42.12.141724 -0700,
81,plyne,None,sub,o20.png,s21.png,that_is,filler,2,2,0,None,,,0,2,2,80,4.977239500032738,,,,,,,,,4.972045749891549,4.977239500032738,4.977239500032738,4.977239500032738,4.977239500032738,0.2866200830321759,119.8721675418783,None,f,0,mouse,j,0,[-0.355],[0.03333333333333333],[1],[0],[0],[1.433693917002529],,,066702,001,2026-04-25_15h42.00.641,experiment,2024.2.4,None,2026-04-25 15h42.12.141724 -0700,
40,wug,None,sub,o10.png,s24.png,there_is,filler,3,3,0,None,,,0,3,3,39,120.25702858390287,,,,,,,,,120.24639912508428,120.25702858390287,120.25702858390287,120.25702858390287,120.25702858390287,0.3675585840828717,122.15229012491181,None,j,0,mouse,f,0,[-0.24333333333333335],[-0.03166666666666667],[1],[0],[0],[114.89983933302574],,,066702,001,2026-04-25_15h42.00.641,experiment,2024.2.4,None,2026-04-25 15h42.12.141724 -0700,
30,zeg,a,obj,o16.png,s12.png,there_is,filler,4,4,0,None,,,0,4,4,29,122.45115950005129,,,,,,,,,122.44653183408082,122.45115950005129,122.45115950005129,122.45115950005129,122.45115950005129,0.29354600002989173,123.0802775840275,None,None,None,none,f,0,[0.39166666666666666],[-0.016666666666666666],[1],[0],[0],[1.9049163339659572],,,066702,001,2026-04-25_15h42.00.641,experiment,2024.2.4,None,2026-04-25 15h42.12.141724 -0700,
8,boarse,None,sub,o9.png,s17.png,that_is,filler,5,5,0,None,,,0,5,5,7,123.36206908407621,,,,,,,,,123.35734454193152,123.36206908407621,123.36206908407621,123.36206908407621,123.36206908407621,0.2765290841925889,124.46372275007889,None,None,None,none,j,0,[0.08],[-0.255],[1],[0],[0],[0.6335637501906604],,,066702,001,2026-04-25_15h42.00.641,experiment,2024.2.4,None,2026-04-25 15h42.12.141724 -0700,
44,stutch,None,sub,o19.png,s5.png,there_is,filler,6,6,0,f,4.8801020830869675,None,0,6,6,43,124.77237433404662,,,,,,,,,124.76732424995862,124.77237433404662,124.77237433404662,124.77237433404662,124.77237433404662,0.3029723751824349,129.67092708405107,f,f,4.8801020830869675,keyboard,j,0,[-0.18333333333333332],[-0.13833333333333334],[1],[0],[0],[1.1061019578482956],4.8801020830869675,None,066702,001,2026-04-25_15h42.00.641,experiment,2024.2.4,None,2026-04-25 15h42.12.141724 -0700,
68,tem,None,sub,o14.png,s25.png,look,critical,7,7,0,j,1.6149869170039892,None,0,7,7,67,129.88964845892042,,,,,,,,,129.8524389169179,129.88964845892042,129.88964845892042,129.88964845892042,129.88964845892042,0.18118650000542402,131.51699708402157,j,j,1.6149869170039892,keyboard,f,0,[],[],[],[],[],[],1.6149869170039892,None,066702,001,2026-04-25_15h42.00.641,experiment,2024.2.4,None,2026-04-25 15h42.12.141724 -0700,
35,clet,None,sub,o21.png,s4.png,look,critical,8,8,0,f,1.9572147917933762,None,0,8,8,34,131.690279917093,,,,,,,,,131.68453945894726,131.690279917093,131.690279917093,131.690279917093,131.690279917093,0.16720537515357137,133.66722925007343,f,f,1.9572147917933762,keyboard,f,1,[],[],[],[],[],[],1.9572147917933762,None,066702,001,2026-04-25_15h42.00.641,experiment,2024.2.4,None,2026-04-25 15h42.12.141724 -0700,
45,stutch,None,sub,o4.png,s25.png,look,critical,9,9,0,j,0.8766958750784397,None,0,9,9,44,133.85180499986745,,,,,,,,,133.83952091704123,133.85180499986745,133.85180499986745,133.85180499986745,133.85180499986745,0.17176858405582607,134.73009612504393,j,j,0.8766958750784397,keyboard,f,0,[],[],[],[],[],[],0.8766958750784397,None,066702,001,2026-04-25_15h42.00.641,experiment,2024.2.4,None,2026-04-25 15h42.12.141724 -0700,
78,plyne,a,obj,o5.png,s25.png,that_is,filler,10,10,0,j,0.48961195908486843,None,0,10,10,77,134.92092720908113,,,,,,,,,134.91024541691877,134.92092720908113,134.92092720908113,134.92092720908113,134.92092720908113,0.17979891714639962,135.41321858391166,j,j,0.48961195908486843,keyboard,j,1,[],[],[],[],[],[],0.48961195908486843,None,066702,001,2026-04-25_15h42.00.641,experiment,2024.2.4,None,2026-04-25 15h42.12.141724 -0700,
