trial_id,word,article,correct_type,obj_image,sub_image,phrase,trial_type,thisN,thisTrialN,thisRepN,key_resp.keys,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,thisRow.t,notes,instruction.started,Welcome.started,start_key.started,instruction.stopped,start_key.keys,start_key.rt,start_key.duration,trial.started,sentence.started,image_left.started,image_right.started,key_resp.started,mouse.started,trial.stopped,trials_loop.key_resp.keys,response,rt,response_method,correct_response,accuracy,trials_loop.mouse.x,trials_loop.mouse.y,trials_loop.mouse.leftButton,trials_loop.mouse.midButton,trials_loop.mouse.rightButton,trials_loop.mouse.time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.02584112505428493,0.03125333413481712,0.03125333413481712,8.946016292087734,f,8.624540833057836,None,,,,,,,,,,,,,,,,,,,,248347,001,2026-04-25_15h45.18.244,experiment,2024.2.4,None,2026-04-25 15h45.29.259498 -0700,
27,fusk,a,obj,o21.png,s25.png,look,critical,0,0,0,None,0,0,0,26,9.36907787504606,,,,,,,,,9.234263917198405,9.36907787504606,9.36907787504606,9.36907787504606,9.36907787504606,0.2882512081414461,15.583378459094092,None,f,0,mouse,j,0,,,,,,,248347,001,2026-04-25_15h45.18.244,experiment,2024.2.4,None,2026-04-25 15h45.29.259498 -0700,
83,kreet,None,sub,o15.png,s22.png,that_is,filler,1,1,0,None,0,1,1,82,15.901927875122055,,,,,,,,,15.895911084022373,15.901927875122055,15.901927875122055,15.901927875122055,15.901927875122055,0.3078806248959154,17.69971933402121,None,j,0,mouse,j,1,[-0.39],[-0.011666666666666667],[1],[0],[0],[6.348867000080645],248347,001,2026-04-25_15h45.18.244,experiment,2024.2.4,None,2026-04-25 15h45.29.259498 -0700,
59,kal,None,sub,o2.png,s19.png,look,critical,2,2,0,None,0,2,2,58,17.86479554208927,,,,,,,,,17.860391459194943,17.86479554208927,17.86479554208927,17.86479554208927,17.86479554208927,0.1600134999025613,18.52251037512906,None,j,0,mouse,j,1,[0.4116666666666667],[-0.045],[1],[0],[0],[1.8035971249919385],248347,001,2026-04-25_15h45.18.244,experiment,2024.2.4,None,2026-04-25 15h45.29.259498 -0700,
65,poy,None,sub,o21.png,s21.png,there_is,filler,3,3,0,None,0,3,3,64,18.823518458986655,,,,,,,,,18.818760209018365,18.823518458986655,18.823518458986655,18.823518458986655,18.823518458986655,0.29559016693383455,19.53795541706495,None,f,0,mouse,f,1,[0.41],[-0.045],[1],[0],[0],[0.6619211249053478],248347,001,2026-04-25_15h45.18.244,experiment,2024.2.4,None,2026-04-25 15h45.29.259498 -0700,
40,wug,None,sub,o10.png,s24.png,there_is,filler,4,4,0,None,0,4,4,39,19.840124875074252,,,,,,,,,19.835565875051543,19.840124875074252,19.840124875074252,19.840124875074252,19.840124875074252,0.29694866691716015,20.46614804212004,None,j,0,mouse,f,0,[-0.5116666666666667],[-0.05],[1],[0],[0],[0.7189998750109226],248347,001,2026-04-25_15h45.18.244,experiment,2024.2.4,None,2026-04-25 15h45.29.259498 -0700,
4,tarb,a,obj,o20.png,s24.png,look,critical,5,5,0,None,0,5,5,3,20.756722000194713,,,,,,,,,20.747434750199318,20.756722000194713,20.756722000194713,20.756722000194713,20.756722000194713,0.28067241702228785,21.489097750047222,None,f,0,mouse,f,1,[0.25333333333333335],[0.016666666666666666],[1],[0],[0],[0.6303859171457589],248347,001,2026-04-25_15h45.18.244,experiment,2024.2.4,None,2026-04-25 15h45.29.259498 -0700,
92,phrup,None,sub,o7.png,s7.png,look,critical,6,6,0,None,0,6,6,91,21.779300209134817,,,,,,,,,21.77484054211527,21.779300209134817,21.779300209134817,21.779300209134817,21.779300209134817,0.28506804117932916,22.61630337499082,None,j,0,mouse,f,0,[-0.395],[0.013333333333333334],[1],[0],[0],[0.7414572080597281],248347,001,2026-04-25_15h45.18.244,experiment,2024.2.4,None,2026-04-25 15h45.29.259498 -0700,
38,boarse,a,obj,o7.png,s21.png,look,critical,7,7,0,None,0,7,7,37,22.9099006250035,,,,,,,,,22.905809667194262,22.9099006250035,22.9099006250035,22.9099006250035,22.9099006250035,0.28884829208254814,24.1995551250875,None,f,0,mouse,j,0,[0.3983333333333333],[-0.013333333333333334],[1],[0],[0],[0.8412677079904824],248347,001,2026-04-25_15h45.18.244,experiment,2024.2.4,None,2026-04-25 15h45.29.259498 -0700,
57,ses,None,sub,o9.png,s25.png,there_is,filler,8,8,0,None,0,8,8,56,24.37037141714245,,,,,,,,,24.365843834122643,24.37037141714245,24.37037141714245,24.37037141714245,24.37037141714245,0.16568424995057285,25.567237167153507,None,j,0,mouse,f,0,[-0.4033333333333333],[-0.01],[1],[0],[0],[1.2935709999874234],248347,001,2026-04-25_15h45.18.244,experiment,2024.2.4,None,2026-04-25 15h45.29.259498 -0700,
