trial_id,word,article,correct_type,obj_image,sub_image,phrase,trial_type,thisN,thisTrialN,thisRepN,key_resp.keys,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,thisRow.t,notes,instruction.started,Welcome.started,start_key.started,mouse_2.started,instruction.stopped,start_key.keys,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,trial.started,sentence.started,image_left.started,image_right.started,key_resp.started,mouse.started,trial.stopped,trials_loop.key_resp.keys,response,rt,response_method,correct_response,accuracy,trials_loop.mouse.x,trials_loop.mouse.y,trials_loop.mouse.leftButton,trials_loop.mouse.midButton,trials_loop.mouse.rightButton,trials_loop.mouse.time,thankyou.started,thankyou_text.started,end_key.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.07435241620987654,0.08588445815257728,0.08588445815257728,0.07438812498003244,41.23692783317529,None,[0.445],[-0.44333333333333336],[1],[0],[0],[41.16211058292538],,,,,,,,,,,,,,,,,,,,,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
93,ses,a,obj,o20.png,s7.png,look,critical,0,0,0,None,0,0,0,92,41.844600750133395,,,,,,,,,,,,,,41.79817391606048,41.844600750133395,41.844600750133395,41.844600750133395,41.844600750133395,0.5592534588649869,43.86897691618651,None,f,0,mouse,j,0,,,,,,,,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
87,poy,None,sub,o13.png,s17.png,look,critical,1,1,0,None,0,1,1,86,44.16713691619225,,,,,,,,,,,,,,44.160924250027165,44.16713691619225,44.16713691619225,44.16713691619225,44.16713691619225,0.2877099998295307,44.7686149161309,None,j,0,mouse,j,1,[-0.43833333333333335],[-0.013333333333333334],[1],[0],[0],[2.07021320797503],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
38,boarse,a,obj,o7.png,s21.png,look,critical,2,2,0,None,0,2,2,37,45.064849333139136,,,,,,,,,,,,,,45.05979787511751,45.064849333139136,45.064849333139136,45.064849333139136,45.064849333139136,0.290543083101511,45.34099912503734,None,j,0,mouse,f,0,[0.38333333333333336],[0.0033333333333333335],[1],[0],[0],[0.6074459999799728],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
59,kal,None,sub,o2.png,s19.png,look,critical,3,3,0,None,0,3,3,58,45.51026508305222,,,,,,,,,,,,,,45.50559291616082,45.51026508305222,45.51026508305222,45.51026508305222,45.51026508305222,0.163912917021662,45.773945208173245,None,j,0,mouse,f,0,[0.385],[0.0016666666666666668],[1],[0],[0],[0.2810098340269178],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
99,ses,None,sub,o4.png,s3.png,look,critical,4,4,0,None,0,4,4,98,46.072964208200574,,,,,,,,,,,,,,46.066954458132386,46.072964208200574,46.072964208200574,46.072964208200574,46.072964208200574,0.292360374936834,46.15134654100984,None,j,0,mouse,f,0,[0.385],[0.0016666666666666668],[1],[0],[0],[0.2681707909796387],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
20,flane,None,sub,o16.png,s12.png,that_is,filler,5,5,0,None,0,5,5,19,46.451080250088125,,,,,,,,,,,,,,46.44518875004724,46.451080250088125,46.451080250088125,46.451080250088125,46.451080250088125,0.2932513749692589,46.61856275005266,None,j,0,mouse,j,1,[0.385],[0.0016666666666666668],[1],[0],[0],[0.08421683311462402],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
64,blick,None,sub,o3.png,s13.png,that_is,filler,6,6,0,None,0,6,6,63,46.88915079110302,,,,,,,,,,,,,,46.88390870811418,46.88915079110302,46.88915079110302,46.88915079110302,46.88915079110302,0.26467737508937716,46.91747316601686,None,j,0,mouse,f,0,[0.385],[0.0016666666666666668],[1],[0],[0],[0.17315520788542926],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
32,smeck,None,sub,o15.png,s3.png,look,critical,7,7,0,None,0,7,7,31,47.214417833136395,,,,,,,,,,,,,,47.20920412521809,47.214417833136395,47.214417833136395,47.214417833136395,47.214417833136395,0.29117591702379286,52.86849270807579,None,f,0,mouse,f,1,[0.385],[0.0016666666666666668],[1],[0],[0],[0.03339954186230898],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
36,blick,None,sub,o3.png,s10.png,look,critical,8,8,0,None,0,8,8,35,53.147384208161384,,,,,,,,,,,,,,53.141613125102594,53.147384208161384,53.147384208161384,53.147384208161384,53.147384208161384,0.272397292079404,53.635218541137874,None,j,0,mouse,j,1,[-0.24166666666666667],[0.12833333333333333],[1],[0],[0],[5.659084958024323],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
96,tem,a,obj,o9.png,s6.png,look,critical,9,9,0,None,0,9,9,95,53.930892875185236,,,,,,,,,,,,,,53.92485512513667,53.930892875185236,53.930892875185236,53.930892875185236,53.930892875185236,0.288933000061661,53.97241425001994,None,j,0,mouse,j,1,[0.3016666666666667],[0.013333333333333334],[1],[0],[0],[0.4933948330581188],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
58,vow,a,obj,o4.png,s10.png,there_is,filler,10,10,0,None,0,10,10,57,54.277715208008885,,,,,,,,,,,,,,54.27268016617745,54.277715208008885,54.277715208008885,54.277715208008885,54.277715208008885,0.2996500830631703,54.52497333311476,None,j,0,mouse,j,1,[0.3016666666666667],[0.013333333333333334],[1],[0],[0],[0.04738004086539149],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
88,smeck,None,sub,o10.png,s11.png,there_is,filler,11,11,0,None,0,11,11,87,54.83180070808157,,,,,,,,,,,,,,54.826738875126466,54.83180070808157,54.83180070808157,54.83180070808157,54.83180070808157,0.30113424989394844,55.092101416084915,None,j,0,mouse,f,0,[0.3016666666666667],[0.013333333333333334],[1],[0],[0],[0.2521032919175923],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
12,plyne,None,sub,o12.png,s12.png,look,critical,12,12,0,None,0,12,12,11,55.38789783301763,,,,,,,,,,,,,,55.37844508304261,55.38789783301763,55.38789783301763,55.38789783301763,55.38789783301763,0.2856622089166194,55.53513337508775,None,j,0,mouse,f,0,[0.3016666666666667],[0.013333333333333334],[1],[0],[0],[0.2651618751697242],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
15,kal,a,obj,o13.png,s13.png,there_is,filler,13,13,0,None,0,13,13,14,55.81286925007589,,,,,,,,,,,,,,55.808305541053414,55.81286925007589,55.81286925007589,55.81286925007589,55.81286925007589,0.27249420899897814,56.007444875082,None,j,0,mouse,j,1,[0.3016666666666667],[0.013333333333333334],[1],[0],[0],[0.1565013329964131],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
85,crolt,None,sub,o5.png,s20.png,that_is,filler,14,14,0,None,0,14,14,84,56.32517870818265,,,,,,,,,,,,,,56.319732500007376,56.32517870818265,56.32517870818265,56.32517870818265,56.32517870818265,0.31163316685706377,56.65263925003819,None,f,0,mouse,j,0,[0.3016666666666667],[0.013333333333333334],[1],[0],[0],[0.19896312500350177],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
46,praith,None,sub,o4.png,s14.png,look,critical,15,15,0,None,0,15,15,45,56.94343908317387,,,,,,,,,,,,,,56.93832350010052,56.94343908317387,56.94343908317387,56.94343908317387,56.94343908317387,0.28509787493385375,57.068440083181486,None,f,0,mouse,j,0,[-0.485],[-0.058333333333333334],[1],[0],[0],[0.3327234589960426],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
44,stutch,None,sub,o19.png,s5.png,there_is,filler,16,16,0,None,0,16,16,43,57.37113158311695,,,,,,,,,,,,,,57.36564112501219,57.37113158311695,57.37113158311695,57.37113158311695,57.37113158311695,0.29660445800982416,57.48518345807679,None,f,0,mouse,f,1,[-0.485],[-0.058333333333333334],[1],[0],[0],[0.12994366604834795],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
67,trebe,None,sub,o8.png,s11.png,look,critical,17,17,0,None,0,17,17,66,57.7884279161226,,,,,,,,,,,,,,57.78351829107851,57.7884279161226,57.7884279161226,57.7884279161226,57.7884279161226,0.29776283307000995,57.93516445811838,None,f,0,mouse,j,0,[-0.485],[-0.058333333333333334],[1],[0],[0],[0.11935187503695488],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
34,ses,a,obj,o11.png,s4.png,there_is,filler,18,18,0,None,0,18,18,33,58.08844450023025,,,,,,,,,,,,,,58.084503875114024,58.08844450023025,58.08844450023025,58.08844450023025,58.08844450023025,0.1487599171232432,58.37485191621818,None,f,0,mouse,f,1,[-0.485],[-0.058333333333333334],[1],[0],[0],[0.1514656669460237],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
84,tib,a,obj,o3.png,s20.png,there_is,filler,19,19,0,None,0,19,19,83,58.66813691612333,,,,,,,,,,,,,,58.663487958023325,58.66813691612333,58.66813691612333,58.66813691612333,58.66813691612333,0.2879907919559628,58.83552370802499,None,f,0,mouse,f,1,[-0.48333333333333334],[-0.06],[1],[0],[0],[0.2901678329799324],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
54,stutch,a,obj,o25.png,s24.png,there_is,filler,20,20,0,None,0,20,20,53,59.13087512506172,,,,,,,,,,,,,,59.12638858309947,59.13087512506172,59.13087512506172,59.13087512506172,59.13087512506172,0.290254499996081,59.268592291045934,None,f,0,mouse,f,1,[-0.48],[-0.06166666666666667],[1],[0],[0],[0.17184991692192852],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
37,zeg,None,sub,o11.png,s11.png,look,critical,21,21,0,None,0,21,21,36,59.54371395800263,,,,,,,,,,,,,,59.53899445803836,59.54371395800263,59.54371395800263,59.54371395800263,59.54371395800263,0.2698392500169575,59.75955612515099,None,f,0,mouse,f,1,[-0.48],[-0.06166666666666667],[1],[0],[0],[0.14201899990439415],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
42,rop,a,obj,o17.png,s3.png,look,critical,22,22,0,None,0,22,22,41,60.058180208085105,,,,,,,,,,,,,,60.05389187508263,60.058180208085105,60.058180208085105,60.058180208085105,60.058180208085105,0.29370991699397564,60.19061766611412,None,f,0,mouse,j,0,[-0.48],[-0.06166666666666667],[1],[0],[0],[0.2203726249281317],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
72,wug,a,obj,o2.png,s4.png,look,critical,23,23,0,None,0,23,23,71,60.35594541602768,,,,,,,,,,,,,,60.351835208013654,60.35594541602768,60.35594541602768,60.35594541602768,60.35594541602768,0.1603989580180496,60.60704370820895,None,f,0,mouse,f,1,[-0.48],[-0.06166666666666667],[1],[0],[0],[0.136556041194126],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
77,praith,a,obj,o2.png,s14.png,there_is,filler,24,24,0,None,0,24,24,76,60.8977820831351,,,,,,,,,,,,,,60.89311541616917,60.8977820831351,60.8977820831351,60.8977820831351,60.8977820831351,0.28542562504298985,60.99029633309692,None,f,0,mouse,j,0,[-0.47833333333333333],[-0.06166666666666667],[1],[0],[0],[0.2550253749359399],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
81,plyne,None,sub,o20.png,s21.png,that_is,filler,25,25,0,None,0,25,25,80,61.28422350017354,,,,,,,,,,,,,,61.28015487501398,61.28422350017354,61.28422350017354,61.28422350017354,61.28422350017354,0.2892203340306878,61.44108995818533,None,f,0,mouse,f,1,[-0.47833333333333333],[-0.06166666666666667],[1],[0],[0],[0.09699549991637468],,,,300505,001,2026-04-25_15h51.50.308,experiment,2024.2.4,None,2026-04-25 15h52.03.406853 -0700,
